"STATION","LATITUDE","LONGITUDE","STATION_BOTTOM_DEPTH","STRATA","AREA","NOTES"
591,4000,12406.00,45,"NC","Shelter Cove","Not sampled after 2011"
592,4000,12412.60,684,"NC","Shelter Cove","Not sampled after 2011"
593,4000,12419.20,960,"NC","Shelter Cove","Not sampled after 2011"
594,4000,12425.80,947,"NC","Shelter Cove","Not sampled after 2011"
595,4000,12432.40,1050,"NC","Shelter Cove","Not sampled after 2011"
596,4000,12439.00,1027,"NC","Shelter Cove","Not sampled after 2011"
597,4000,12445.60,1135,"NC","Shelter Cove","Not sampled after 2011"
631,4200,12424.60,84,"OR","Brookings",
632,4200,12431.20,152,"OR","Brookings",
633,4200,12437.80,431,"OR","Brookings",
634,4200,12444.40,671,"OR","Brookings",
635,4200,12451.00,924,"OR","Brookings",
636,4200,12457.60,1019,"OR","Brookings",
637,4200,12504.20,1140,"OR","Brookings",
641,4230,12436.60,87,"OR","Gold Beach",
642,4230,12443.20,206,"OR","Gold Beach",
643,4230,12449.80,705,"OR","Gold Beach",
644,4230,12456.40,1353,"OR","Gold Beach",
645,4230,12503.00,1732,"OR","Gold Beach",
646,4230,12509.60,2485,"OR","Gold Beach",
647,4230,12516.20,3090,"OR","Gold Beach",
651,4300,12437.80,116,"OR","Bandon",
652,4300,12444.40,158,"OR","Bandon",
653,4300,12451.00,140,"OR","Bandon",
654,4300,12457.60,983,"OR","Bandon",
655,4300,12504.20,1644,"OR","Bandon",
656,4300,12510.80,1966,"OR","Bandon",
657,4300,12517.40,3077,"OR","Bandon",
661,4330,12421.60,98,"OR","Coos Bay",
662,4330,12428.20,121,"OR","Coos Bay",
663,4330,12434.80,200,"OR","Coos Bay",
664,4330,12441.40,473,"OR","Coos Bay",
665,4330,12448.00,603,"OR","Coos Bay",
666,4330,12454.60,753,"OR","Coos Bay",
667,4330,12501.20,1181,"OR","Coos Bay",
671,4400,12434.80,149,"OR","Heceta Head",
672,4400,12442.00,116,"OR","Heceta Head",
673,4400,12449.20,107,"OR","Heceta Head",
674,4400,12456.40,214,"OR","Heceta Head",
675,4400,12503.60,1354,"OR","Heceta Head",
676,4400,12510.80,1667,"OR","Heceta Head",
677,4400,12518.00,2914,"OR","Heceta Head",
681,4430,12421.00,59,"OR","Newport",
682,4430,12428.20,82,"OR","Newport",
683,4430,12435.40,143,"OR","Newport",
684,4430,12442.60,196,"OR","Newport",
685,4430,12449.80,227,"OR","Newport",
686,4430,12457.00,594,"OR","Newport",
687,4430,12504.20,1150,"OR","Newport",
691,4500,12406.60,75,"OR","Lincoln City",
692,4500,12413.80,134,"OR","Lincoln City",
693,4500,12421.00,196,"OR","Lincoln City",
694,4500,12428.20,345,"OR","Lincoln City",
695,4500,12435.40,449,"OR","Lincoln City",
696,4500,12442.60,472,"OR","Lincoln City",
697,4500,12449.80,723,"OR","Lincoln City",
701,4530,12409.60,117,"OR","Tillamook",
702,4530,12416.80,163,"OR","Tillamook",
703,4530,12424.00,198,"OR","Tillamook",
704,4530,12431.20,463,"OR","Tillamook",
705,4530,12438.40,471,"OR","Tillamook",
706,4530,12445.60,575,"OR","Tillamook",
707,4530,12452.80,1100,"OR","Tillamook",
711,4600,12419.20,121,"OR","Columbia River",
712,4600,12426.40,144,"OR","Columbia River",
713,4600,12433.60,159,"OR","Columbia River",
714,4600,12440.80,208,"OR","Columbia River",
715,4600,12448.00,469,"OR","Columbia River",
716,4600,12455.20,884,"OR","Columbia River",
717,4600,12502.40,1280,"OR","Columbia River",
721,4630,12416.80,60,"WA","Willapa Bay",
722,4630,12424.00,94,"WA","Willapa Bay",
723,4630,12431.20,281,"WA","Willapa Bay",
724,4630,12438.40,717,"WA","Willapa Bay",
725,4630,12445.60,778,"WA","Willapa Bay",
726,4630,12452.80,1285,"WA","Willapa Bay",
727,4630,12500.00,1347,"WA","Willapa Bay",
731,4700,12435.40,88,"WA","Grays Harbor",
732,4700,12442.60,111,"WA","Grays Harbor",
733,4700,12449.80,158,"WA","Grays Harbor",
734,4700,12457.00,157,"WA","Grays Harbor",
735,4700,12504.20,1015,"WA","Grays Harbor",
736,4700,12511.40,1391,"WA","Grays Harbor",
737,4700,12518.60,1820,"WA","Grays Harbor",
741,4730,12442.60,88,"WA","Taholah",
742,4730,12449.80,130,"WA","Taholah",
743,4730,12457.00,205,"WA","Taholah",
744,4730,12504.20,948,"WA","Taholah",
745,4730,12511.40,603,"WA","Taholah",
746,4730,12518.60,1155,"WA","Taholah",
747,4730,12525.80,1176,"WA","Taholah",
751,4800,12514.40,161,"WA","La Push",
752,4800,12521.60,621,"WA","La Push",
753,4800,12528.80,158,"WA","La Push",
754,4800,12536.00,202,"WA","La Push",
755,4800,12543.20,908,"WA","La Push",
756,4800,12550.40,1363,"WA","La Push",
757,4800,12557.60,1488,"WA","La Push",
758,4800,12604.80,1646,"WA","La Push",
