SPECIES,COMMON_NAME,SCI_NAME,PACFIN_CODE,MATURITY_CODES,SPECIES_GROUP,NOTES
5,POACHER,Agonidae,,U         ,Fish,
18,WHITEBAIT SMELT,Allosmerus elongatus,,"A,Y       ",Smelt,
21,COMMON THRESHER SHARK,Alopias vulpines,,U         ,Elasmobranch,
23,AMERICAN SHAD,Alosa sapidissima,,"A,Y       ",Clupeoid,
24,PACIFIC SANDLANCE,Ammodytes hexapterus,,U         ,Fish,
31,WOLF-EEL,Anarrhichthys ocellatus,,"A,Y       ",Other Groundfish,
39,SABLEFISH,Anoplopoma fimbria,,"A,Y       ",Other Groundfish,
51,BIGFIN EELPOUT,Aprodon cortezianus,,U         ,Fish,
53,ARGENTINE,Argentinidae,,U         ,Fish,
71,ARROWTOOTH FLOUNDER,Atheresthes stomias,,"A,Y       ",Flatfish,
73,TOPSMELT,Atherinops affinis,,U         ,Fish,
74,JACKSMELT,Atherinopsis californiensis,,U         ,Fish,
82,HIGHFIN DRAGONFISH,Bathophilus flemingi,,U         ,Fish,
84,BLACKSMELT,Bathylagidae,,U         ,Deep-Sea Smelt,
85,ROBUST BLACKSMELT,Bathylagus milleri,,U         ,Deep-Sea Smelt,
86,POPEYE BLACKSMELT,Bathylagus ochotensis,,U         ,Deep-Sea Smelt,
87,PACIFIC BLACKSMELT,Bathylagus pacificus,,U         ,Deep-Sea Smelt,
88,SNUBNOSE BLACKSMELT,Bathylagus wesethi,,U         ,Deep-Sea Smelt,
89,RONQUIL,Bathymasteridae,,U         ,Fish,
100,SOFT EELPOUT,Bothrocara molle,,U         ,Fish,
102,PACIFIC POMFRET,Brama japonica,,U         ,Fish,
135,VIPERFISH,Chauliodontidae,,U         ,Fish,
136,PACIFIC VIPERFISH,Chauliodus macouni,,U         ,Fish,
138,SPOTTED CUSK-EEL,Chilara taylori,,U         ,Fish,
142,ROUGHBACK SCULPIN,Chitonotus pugetensis,,"A,Y       ",Cottid,
147,PACIFIC SANDDAB,Citharichthys sordidus,,"A,Y       ",Flatfish,Began enumeration in 1987.
148,SPECKLED SANDDAB,Citharichthys stigmaeus,,"A,Y       ",Flatfish,Began enumeration in 1987.
150,SANDDAB.,Citharichthys spp.,,"A,Y       ",Flatfish,
159,PACIFIC HERRING,Clupea pallasii,,"A,Y       ",Clupeoid,
160,HERRING,Clupeidae,,"A,Y       ",Clupeoid,
162,PACIFIC SAURY,Cololabis saira,,U         ,Fish,
167,BLACKEYE GOBY,Rhinogobiops nicholsii,,U         ,Fish,
168,SCULPIN,Cottidae,,"A,Y       ",Cottid,
172,BENTTOOTH BRISTLEMOUTH,Cyclothone acclinidens,,U         ,Fish,
173,SHINER SURFPERCH,Cymatogaster aggregata,,U         ,Fish,
184,STINGRAY,Dasyatididae,,U         ,Elasmobranch,
186,PELAGIC STINGRAY,Dasyatis violacea,,U         ,Elasmobranch,
192,CALIFORNIA HEADLIGHTFISH,Diaphus theta,,U         ,Myctophid,
206,SURF PERCH,Embiotocidae,,U         ,Fish,
207,FLATCHEEK EELPOUT,Embryx crotalina,,U         ,Fish,
208,ANCHOVY,Engraulididae,,"A,Y       ",Clupeoid,
209,NORTHERN ANCHOVY,Engraulis mordax,,"A,Y       ",Clupeoid,
212,PETRALE SOLE,Eopsetta jordani,,"A,Y       ",Flatfish,
219,PACIFIC HAGFISH,Eptatretus stoutii,,U         ,Other Groundfish,
234,CODFISH,Gadidae,,"A,Y       ",Other Groundfish,
235,PACIFIC COD,Gadus macrocephalus,,"A,Y       ",Other Groundfish,
240,THREESPINE STICKLEBACK,Gasterosteus aculeatus,,U         ,Fish,
241,SNAKE MACKERELS,Gempylidae,,U         ,Fish,
243,WHITE CROAKER,Genyonemus lineatus,,U         ,Fish,
252,OPALEYE,Girella nigricans,,U         ,Fish,
253,REX SOLE,Glyptocephalus zachirus,,"A,Y       ",Flatfish,
261,GOBY,Gobiidae,,U         ,Fish,Began enumeration in 1987.
263,BRISTLEMOUTH,Gonostomatidae,,U         ,Fish,
271,RED IRISH LORD,Hemilepidotus hemilepidotus,,"A,Y       ",Cottid,
272,BROWN IRISH LORD,Hemilepidotus spinosus,,"A,Y       ",Cottid,
279,GREENLING,Hexagrammidae,,"A,Y       ",Other Groundfish,
280,KELP GREENLING,Hexagrammos decagrammus,,"A,Y       ",Other Groundfish,
285,SIXGILL SHARK,Hexanchus griseus,,U         ,Elasmobranch,
288,FLATHEAD SOLE,Hippoglossoides elassodon,,"A,Y       ",Flatfish,
291,RATFISH,Hydrolagus colliei,,U         ,Fish,
315,MEDUSAFISH,Icichthys lockingtoni,,U         ,Fish,
317,RAGFISH,Icosteus aenigmaticus,,U         ,Fish,
320,BUTTER SOLE,Isopsetta isolepis,,"A,Y       ",Flatfish,
331,BROADFIN LAMPFISH,Nannobrachium ritteri,,U         ,Myctophid,
334,LAMPREY,Petromyzontidae,,U         ,Fish,
338,BAY GOBY,Lepidogobius lepidus,,U         ,Fish,
339,ROCK SOLE,Lepidopsetta bilineata,,"A,Y       ",Flatfish,
341,STAGHORN SCULPIN,Leptocottus armatus,,"A,Y       ",Cottid,
342,SLENDER BARRACUDINA,Lestidium ringens,,U         ,Fish,
345,CALIFORNIA SMOOTHTONGUE,Leuroglossus stilbius,,U         ,Deep-Sea Smelt,
346,SNAILFISH,Liparidae,,U         ,Fish,
348,SLIPSKIN SNAILFISH,Liparis fucensis,,U         ,Fish,
350,SHOWY SNAILFISH,Liparis pulchellus,,U         ,Fish,
358,BLACKMOUTH EELPOUT,Lycodapus fierasfer,,U         ,Fish,
359,PALLID EELPOUT,Lycodapus mandibularis,,U         ,Fish,
361,BLACKBELLY EELPOUT,Lycodopsis pacifica,,U         ,Fish,
364,SLENDER SOLE,Lyopsetta exilis,,"A,Y       ",Flatfish,
369,SLENDER SNIPEFISH,Macroramphosus gracilis,,U         ,Fish,
370,GRENADIER,Macrouridae,,U         ,Other Groundfish,
375,HALFMOON,Medialuna californiensis,,U         ,Fish,
376,BIGSCALE,Melamphaidae,,U         ,Fish,
378,DRAGONFISH,Melanostomiidae,,U         ,Fish,
382,PACIFIC HAKE,Merluccius productus,,"A,Y       ",Other Groundfish,
387,DOVER SOLE,Microstomus pacificus,,"A,Y       ",Flatfish,
392,COMMON MOLA,Mola mola,,U         ,Fish,
394,CODLING,Moridae,,"A,Y       ",Other Groundfish,
401,GRAY SMOOTHHOUND,Mustelus californicus,,U         ,Elasmobranch,
402,BROWN SMOOTHHOUND,Mustelus henlei,,U         ,Elasmobranch,
407,MYCTOPHID,Myctophidae,,U         ,Myctophid,Does not include California headlightfish and blue lanternfish.  Additional species were enumerated seperately over time such as the California lanternfish.
418,SNIPE EEL,Nemichthyidae,,U         ,Fish,
419,SLENDER SNIPE EEL,Nemichthys scolopaceus,,U         ,Fish,
429,PYGMY POACHER,Odontopyxis trispinosa,,U         ,Fish,
438,PINK SALMON,Oncorhynchus gorbuscha,,"A,Y       ",Salmonid,
440,SILVER SALMON,Oncorhynchus kisutch,,"A,Y       ",Salmonid,
442,KING SALMON,Oncorhynchus tshawytscha,,"A,Y       ",Salmonid,
443,SALMON,Oncorhynchus spp.,,"A,Y       ",Salmonid,
447,CUSK-EEL,Ophidiidae,,U         ,Fish,
448,LINGCOD,Ophiodon elongatus,,"A,Y       ",Other Groundfish,
453,SMELT,Osmeridae,,"A,Y       ",Smelt,
456,BASKETWEAVE CUSK-EEL,Otophidium scrippsi,,U         ,Fish,
458,PAINTED GREENLING,Oxylebius pictus,,"A,Y       ",Other Groundfish,
465,BARRACUDINA,Paralepididae,,U         ,Fish,
466,CALIFORNIA HALIBUT,Paralichthys californicus,,"A,Y       ",Flatfish,
468,FILETAIL CAT SHARK,Parmaturus xaniurus,,U         ,Elasmobranch,
469,ENGLISH SOLE,Parophrys vetulus,,"A,Y       ",Flatfish,
472,PACIFIC POMPANO,Peprilus simillimus,,U         ,Fish,
487,STARRY FLOUNDER,Platichthys stellatus,,"A,Y       ",Flatfish,
491,SPOOKFISH,Opisthoproctidae,,U         ,Fish,
492,RIGHT EYED FLATFISH,Pleuronectidae,,"A,Y       ",Flatfish,
494,CURLFIN SOLE,Pleuronichthys decurrens,,"A,Y       ",Flatfish,
495,SPOTTED TURBOT,Pleuronichthys ritteri,,"A,Y       ",Flatfish,
496,HORNYHEAD TURBOT,Pleuronichthys verticalis,,"A,Y       ",Flatfish,
497,TURBOT,Pleuronichthys spp.,,"A,Y       ",Flatfish,
503,PLAINFIN MIDSHIPMAN,Porichthys notatus,,U         ,Fish,
507,BLUE SHARK,Prionace glauca,,U         ,Elasmobranch,
510,CALIF. FLASHLIGHTFISH,Protomyctophum crockeri,,U         ,Myctophid,
512,SAND SOLE,Psettichthys melanostictus,,"A,Y       ",Flatfish,Began enumeration in 1991.
521,BIG SKATE,Raja binoculata,,U         ,Elasmobranch,
522,CALIFORNIA SKATE,Raja inornata,,U         ,Elasmobranch,
523,SANDPAPER SKATE,Raja kincaidii,,U         ,Elasmobranch,
525,LONGNOSE SKATE,Raja rhina,,U         ,Elasmobranch,
526,STARRY SKATE,Raja stellulata,,U         ,Elasmobranch,
539,REMORA,Remora spp.,,U         ,Fish,
543,GRUNT SCULPIN,Rhamphocottus richardsonii,,"A,Y       ",Cottid,
556,NORTHERN RONQUIL,Ronquilus jordani,,U         ,Fish,
559,STEELHEAD,Oncorhynchus mykiss,,"A,Y       ",Salmonid,
561,PACIFIC BONITO,Sarda chiliensis,,"A,Y       ",Fish,
562,PACIFIC SARDINE,Sardinops sagax,,"A,Y       ",Clupeoid,
563,DRUM,Sciaenidae,,U         ,Fish,
564,PACIFIC MACKEREL,Scomber japonicus,,"A,Y       ",Fish,
568,SCOMBRID,Scombridae,,"A,Y       ",Fish,
569,PEARLEYE,Scopelarchidae,,U         ,Fish,
572,CABEZON,Scorpaenichthys marmoratus,,"A,Y       ",Cottid,Began enumeration in 1988.
573,SCORPIONFISH,Scorpaenidae,,"A,Y       ",Other Groundfish,
579,ROUGHEYE ROCKFISH,Sebastes aleutianus,,"A,Y       ",Rockfish,
580,PACIFIC OCEAN PERCH,Sebastes alutus,,"A,Y       ",Rockfish,
581,KELP ROCKFISH,Sebastes atrovirens,,"A,Y       ",Rockfish,
582,BROWN ROCKFISH,Sebastes auriculatus,,"A,Y       ",Rockfish,
583,AURORA ROCKFISH,Sebastes aurora,,"A,Y       ",Rockfish,
584,REDBANDED ROCKFISH,Sebastes babcocki,,"A,Y       ",Rockfish,
585,SHORTRAKER ROCKFISH,Sebastes borealis,,"A,Y       ",Rockfish,
586,SILVERGRAY ROCKFISH,Sebastes brevispinis,,"A,Y       ",Rockfish,
587,GOPHER ROCKFISH,Sebastes carnatus,,"A,Y       ",Rockfish,
588,COPPER ROCKFISH,Sebastes caurinus,,"A,Y       ",Rockfish,
589,GREENSPOTTED ROCKFISH,Sebastes chlorostictus,,"A,Y       ",Rockfish,
590,BLACK-AND-YELLOW ROCKFISH,Sebastes chrysomelas,,"A,Y       ",Rockfish,
591,STARRY ROCKFISH,Sebastes constellatus,,"A,Y       ",Rockfish,
592,DARKBLOTCHED ROCKFISH,Sebastes crameri,,"A,Y       ",Rockfish,
593,CALICO ROCKFISH,Sebastes dallii,,"A,Y       ",Rockfish,
594,SPLITNOSE ROCKFISH,Sebastes diploproa,,"A,Y       ",Rockfish,
595,GREENSTRIPED ROCKFISH,Sebastes elongatus,,"A,Y       ",Rockfish,
596,SWORDSPINE ROCKFISH,Sebastes ensifer,,"A,Y       ",Rockfish,
597,WIDOW ROCKFISH,Sebastes entomelas,,"A,Y       ",Rockfish,
598,PINK ROCKFISH,Sebastes eos,,"A,Y       ",Rockfish,
599,YELLOWTAIL ROCKFISH,Sebastes flavidus,,"A,Y       ",Rockfish,
600,BRONZESPOTTED ROCKFISH,Sebastes gilli,,"A,Y       ",Rockfish,
601,CHILIPEPPER,Sebastes goodei,,"A,Y       ",Rockfish,
602,ROSETHORN ROCKFISH,Sebastes helvomaculatus,,"A,Y       ",Rockfish,
603,SQUARESPOT ROCKFISH,Sebastes hopkinsi,,A.Y       ,Rockfish,
604,SHORTBELLY ROCKFISH,Sebastes jordani,,"A,Y       ",Rockfish,
605,FRECKLED ROCKFISH,Sebastes lentiginosus,,"A,Y       ",Rockfish,
606,COWCOD,Sebastes levis,,"A,Y       ",Rockfish,
607,MEXICAN ROCKFISH,Sebastes macdonaldi,,"A,Y       ",Rockfish,
608,QUILLBACK ROCKFISH,Sebastes maliger,,"A,Y       ",Rockfish,
609,BLACK ROCKFISH,Sebastes melanops,,"A,Y       ",Rockfish,
610,BLACKGILL ROCKFISH,Sebastes melanostomus,,"A,Y       ",Rockfish,
611,VERMILION ROCKFISH,Sebastes miniatus,,"A,Y       ",Rockfish,
612,BLUE ROCKFISH,Sebastes mystinus,,"A,Y       ",Rockfish,
613,CHINA ROCKFISH,Sebastes nebulosus,,"A,Y       ",Rockfish,
614,TIGER ROCKFISH,Sebastes nigrocinctus,,"A,Y       ",Rockfish,
615,SPECKLED ROCKFISH,Sebastes ovalis,,"A,Y       ",Rockfish,
616,BOCACCIO,Sebastes paucispinis,,"A,Y       ",Rockfish,
617,CHAMELEON ROCKFISH,Sebastes phillipsi,,"A,Y       ",Rockfish,
618,CANARY ROCKFISH,Sebastes pinniger,,"A,Y       ",Rockfish,
619,REDSTRIPE ROCKFISH.,Sebastes proriger,,"A,Y       ",Rockfish,
620,GRASS ROCKFISH,Sebastes rastrelliger,,"A,Y       ",Rockfish,
621,YELLOWMOUTH ROCKFISH,Sebastes reedi,,"A,Y       ",Rockfish,
622,ROSY ROCKFISH,Sebastes rosaceus,,"A,Y       ",Rockfish,
623,GREENBLOTCHED ROCKFISH,Sebastes rosenblatti,,"A,Y       ",Rockfish,
624,YELLOWEYE ROCKFISH,Sebastes ruberrimus,,"A,Y       ",Rockfish,
625,FLAG ROCKFISH,Sebastes rubrivinctus,,"A,Y       ",Rockfish,
626,BANK ROCKFISH,Sebastes rufus,,"A,Y       ",Rockfish,
627,STRIPETAIL ROCKFISH,Sebastes saxicola,,"A,Y       ",Rockfish,
628,HALFBANDED ROCKFISH,Sebastes semicinctus,,"A,Y       ",Rockfish,
629,OLIVE ROCKFISH,Sebastes serranoides,,"A,Y       ",Rockfish,
630,TREEFISH,Sebastes serriceps,,"A,Y       ",Rockfish,
631,PINKROSE ROCKFISH,Sebastes simulator,,"A,Y       ",Rockfish,
633,HONEYCOMB ROCKFISH,Sebastes umbrosus,,"A,Y       ",Rockfish,
635,PYGMY ROCKFISH,Sebastes wilsoni,,"A,Y       ",Rockfish,
636,SHARPCHIN ROCKFISH,Sebastes zacentrus,,"A,Y       ",Rockfish,
637,SHORTSPINE THORNYHEAD,Sebastolobus alascanus,,"A,Y       ",Other Groundfish,
638,LONGSPINE THORNYHEAD,Sebastolobus altivelis,,"A,Y       ",Other Groundfish,
647,CALIFORNIA BARRACUDA,Sphyraena argentea,,U         ,Fish,
654,NIGHT SMELT,Spirinchus starksi,,"A,Y       ",Smelt,
655,LONGFIN SMELT,Spirinchus thaleichthys,,"A,Y       ",Smelt,
656,DOGFISH,Squalidae,,U         ,Elasmobranch,
657,NORTH PACIFIC SPINY DOGFISH,Squalus suckleyi,,U         ,Elasmobranch,
661,NORTHERN LAMPFISH,Stenobrachius leucopsarus,,U         ,Myctophid,Began enumeration in 2016.
663,HATCHETFISH,Sternoptychidae,,U         ,Fish,
665,PRICKLEBACK,Stichaeidae,,U         ,Fish,
669,CALIFORNIA LANTERNFISH,Symbolophorus californiensis,,U         ,Myctophid,Began enumeration in 2008.
670,CALIFORNIA TONGUEFISH,Symphurus atricauda,,"A,Y       ",Flatfish,
672,PIPEFISH,Syngnathidae,,U         ,Fish,
680,CALIFORNIA LIZARDFISH,Synodus lucioceps,,U         ,Fish,
681,LONGFIN DRAGONFISH,Tactostoma macropus,,U         ,Fish,
685,BLUE LANTERNFISH,Tarletonbeania crenularis,,U         ,Myctophid,
