"CRUISE","HAUL_NO","SPECIES","MATURITY","TOTAL_NO"
"0002",1,209,"A",32
"0002",1,345,"U",92
"0002",1,382,"A",152
"0002",1,382,"Y",32
"0002",1,503,"U",2
"0002",1,582,"Y",2
"0002",1,604,"Y",9
"0002",1,1101,"U",658
"0002",1,1472,"U",1290
"0002",1,2058,"U",1
"0002",1,2468,"U",5
"0002",1,2839,"U",4
"0002",2,148,"Y",5
"0002",2,209,"A",127
"0002",2,253,"Y",1
"0002",2,346,"U",1
"0002",2,382,"A",222
"0002",2,382,"Y",9
"0002",2,407,"U",1
"0002",2,492,"Y",1
"0002",2,562,"A",7
"0002",2,604,"Y",1
"0002",2,1101,"U",145
"0002",2,1472,"U",2740
"0002",2,2024,"U",4
"0002",2,2058,"U",1
"0002",2,2468,"U",1
"0002",2,2839,"U",2
"0002",3,209,"A",4
"0002",3,382,"A",164
"0002",3,382,"Y",4
"0002",3,1101,"U",189
"0002",3,1472,"U",18338
"0002",3,1766,"U",1
"0002",3,2468,"U",53
"0002",3,2839,"U",4
"0002",4,209,"A",334
"0002",4,315,"U",1
"0002",4,382,"A",1
"0002",4,382,"Y",2
"0002",4,503,"U",4
"0002",4,562,"A",8
"0002",4,604,"Y",1
"0002",4,698,"U",2
"0002",4,1101,"U",77
"0002",4,1472,"U",4851
"0002",4,1766,"U",2
"0002",4,1940,"Y",1
"0002",4,2058,"U",1
"0002",4,2468,"U",175
"0002",4,2839,"U",3
"0002",5,209,"A",1
"0002",5,627,"Y",2
"0002",5,698,"U",1
"0002",5,1101,"U",3
"0002",5,2393,"U",32
"0002",5,2437,"Y",1
"0002",5,2468,"U",13
"0002",6,382,"Y",2
"0002",6,601,"Y",1
"0002",6,1101,"U",197
"0002",6,1472,"U",18000
"0002",6,1766,"U",1
"0002",6,2058,"U",3
"0002",6,2468,"U",36
"0002",6,2839,"U",1
"0002",7,147,"Y",43
"0002",7,148,"Y",5
"0002",7,382,"Y",2
"0002",7,458,"Y",2
"0002",7,562,"A",2
"0002",7,1101,"U",1
"0002",7,1472,"U",1146
"0002",7,1869,"U",1
"0002",7,1918,"U",3
"0002",7,2058,"U",1
"0002",7,2393,"U",3
"0002",7,2468,"U",254
"0002",8,147,"Y",12
"0002",8,148,"Y",6
"0002",8,192,"U",3
"0002",8,382,"Y",6
"0002",8,407,"U",3
"0002",8,465,"U",3
"0002",8,685,"U",12
"0002",8,1472,"U",71726
"0002",8,1918,"U",6
"0002",8,2468,"U",235
"0002",9,84,"U",2
"0002",9,147,"Y",4
"0002",9,148,"Y",3
"0002",9,192,"U",5
"0002",9,382,"Y",81
"0002",9,407,"U",115
"0002",9,465,"U",1
"0002",9,597,"Y",1
"0002",9,604,"Y",5
"0002",9,627,"Y",1
"0002",9,685,"U",6
"0002",9,1472,"U",1015
"0002",9,1918,"U",4
"0002",9,2024,"U",395
"0002",9,2058,"U",1
"0002",9,2468,"U",63
"0002",10,84,"U",1
"0002",10,345,"U",37
"0002",10,382,"Y",1
"0002",10,597,"Y",2
"0002",10,601,"Y",2
"0002",10,604,"Y",10
"0002",10,1101,"U",28
"0002",10,1472,"U",7722
"0002",10,1918,"U",6
"0002",10,2026,"U",1
"0002",10,2468,"U",3
"0002",11,84,"U",8
"0002",11,147,"Y",2
"0002",11,345,"U",435
"0002",11,382,"Y",15
"0002",11,387,"Y",1
"0002",11,407,"U",1
"0002",11,594,"Y",1
"0002",11,599,"Y",1
"0002",11,601,"Y",1
"0002",11,604,"Y",11
"0002",11,627,"Y",2
"0002",11,1101,"U",3
"0002",11,1472,"U",28140
"0002",11,1918,"U",18
"0002",11,2026,"U",16
"0002",11,2393,"U",17
"0002",11,2468,"U",6
"0002",12,147,"Y",37
"0002",12,148,"Y",16
"0002",12,253,"Y",1
"0002",12,345,"U",27
"0002",12,382,"Y",271
"0002",12,407,"U",26
"0002",12,448,"Y",1
"0002",12,597,"Y",4
"0002",12,601,"Y",1
"0002",12,604,"Y",31
"0002",12,616,"Y",2
"0002",12,685,"U",3
"0002",12,1472,"U",230748
"0002",12,1918,"U",3
"0002",12,2026,"U",15
"0002",12,2058,"U",1
"0002",12,2393,"U",7
"0002",12,2468,"U",14
"0002",12,2840,"U",1
"0002",13,84,"U",13
"0002",13,147,"Y",4
"0002",13,148,"Y",2
"0002",13,253,"Y",3
"0002",13,345,"U",3
"0002",13,382,"Y",37
"0002",13,407,"U",14
"0002",13,604,"Y",4
"0002",13,1101,"U",1
"0002",13,1472,"U",68474
"0002",13,1918,"U",1
"0002",13,2026,"U",33
"0002",13,2393,"U",1
"0002",13,2468,"U",2
"0002",14,147,"Y",21
"0002",14,148,"Y",7
"0002",14,253,"Y",3
"0002",14,364,"Y",1
"0002",14,382,"Y",147
"0002",14,512,"Y",1
"0002",14,604,"Y",24
"0002",14,616,"Y",1
"0002",14,1101,"U",2
"0002",14,1472,"U",70518
"0002",14,1516,"Y",1
"0002",14,1869,"U",1
"0002",14,1918,"U",1
"0002",14,1940,"Y",1
"0002",14,2026,"U",1
"0002",14,2468,"U",3
"0002",14,2811,"Y",3
"0002",14,2839,"U",1
"0002",15,84,"U",2
"0002",15,147,"Y",12
"0002",15,148,"Y",2
"0002",15,253,"Y",1
"0002",15,364,"Y",1
"0002",15,382,"A",17
"0002",15,382,"Y",17
"0002",15,492,"Y",2
"0002",15,512,"Y",1
"0002",15,604,"Y",22
"0002",15,1472,"U",8694
"0002",15,1940,"Y",1
"0002",15,2468,"U",47
"0002",16,147,"Y",8
"0002",16,148,"Y",2
"0002",16,364,"Y",1
"0002",16,382,"A",1
"0002",16,382,"Y",19
"0002",16,492,"Y",1
"0002",16,604,"Y",18
"0002",16,1472,"U",50715
"0002",16,2026,"U",4
"0002",16,2437,"Y",1
"0002",16,2468,"U",6
"0002",17,147,"Y",5
"0002",17,253,"Y",1
"0002",17,345,"U",1
"0002",17,382,"Y",14
"0002",17,512,"Y",1
"0002",17,604,"Y",6
"0002",17,1472,"U",9660
"0002",17,1795,"U",1
"0002",17,2026,"U",3
"0002",17,2437,"Y",1
"0002",17,2468,"U",1
"0002",18,147,"Y",3
"0002",18,345,"U",7
"0002",18,364,"Y",5
"0002",18,382,"A",4
"0002",18,382,"Y",8
"0002",18,604,"Y",9
"0002",18,1472,"U",13283
"0002",18,1940,"Y",1
"0002",18,2026,"U",3
"0002",18,2468,"U",6
"0002",19,253,"Y",8
"0002",19,345,"U",184
"0002",19,382,"A",70
"0002",19,382,"Y",109
"0002",19,407,"U",1
"0002",19,492,"Y",1
"0002",19,512,"Y",1
"0002",19,604,"Y",4
"0002",19,1472,"U",115920
